"state","seven_day_average_Positive","seven_day_average_death_toll","state_name"
"AK",662,4,"Alaska"
"AL",3552,39,"Alabama"
"AR",2164,40,"Arkansas"
"AZ",6011,53,"Arizona"
"CA",27646,148,"California"
"CO",4461,75,"Colorado"
"CT",2573,32,"Connecticut"
"DE",795,4,"Delaware"
"FL",9438,108,"Florida"
"GA",4194,48,"Georgia"
"HI",104,3,"Hawaii"
"IA",1493,84,"Iowa"
"ID",1662,18,"Idaho"
"IL",9174,180,"Illinois"
"IN",6588,80,"Indiana"
"KS",2904,49,"Kansas"
"KY",3315,19,"Kentucky"
"LA",2514,30,"Louisiana"
"MA",4941,48,"Massachusetts"
"MD",2884,38,"Maryland"
"ME",332,4,"Maine"
"MI",6188,116,"Michigan"
"MN",4668,64,"Minnesota"
"MO",3654,47,"Missouri"
"MS",2031,31,"Mississippi"
"MT",844,10,"Montana"
"NC",5799,43,"North Carolina"
"ND",563,19,"North Dakota"
"NE",1656,25,"Nebraska"
"NH",817,6,"New Hampshire"
"NJ",4907,57,"New Jersey"
"NM",1713,27,"New Mexico"
"NV",2722,29,"Nevada"
"NY",9968,79,"New York"
"OH",11920,84,"Ohio"
"OK",3163,21,"Oklahoma"
"OR",1520,21,"Oregon"
"PA",10400,161,"Pennsylvania"
"RI",1262,14,"Rhode Island"
"SC",2770,26,"South Carolina"
"SD",790,22,"South Dakota"
"TN",6001,68,"Tennessee"
"TX",11596,194,"Texas"
"UT",2746,14,"Utah"
"VA",3742,28,"Virginia"
"VT",106,2,"Vermont"
"WA",2789,24,"Washington"
"WI",4354,62,"Wisconsin"
"WV",1202,19,"West Virginia"
"WY",463,8,"Wyoming"
